///Ремикс
WatcherExpeditions_Name|Экспедиции для Созерцателя
Perk_Boomerang_Desc|Все камни с некоторым шансом могут быть заменены на бумеранг.
Burden_Rot_Name|ГНИЛЬ
Burden_Rot_Desc|Все регионы изначально полностью охвачены и заражены гнилью.<LINE>Это сделано только для усложнения задачи.
Challenge_Rot_Name|Заражение гнилью
Challenge_Rot_Desc|Зарази <score_target> регионов разумной гнилью [<current_score>/<score_target>]
Challenge_ST_Name|Волчок
Challenge_ST_Desc|Посети Волчка в регионе <region>
Challenge_Warp_Name|Порталов за цикл
Challenge_Warp_Desc|Создай <target> порталов за один цикл [<current>/<target>]
challenge_Prince_Name|Доставка Принцу
challenge_Prince_Desc|Доставь <item> Принцу
Mission_Rot|Гниющий Мир
